word,source,band,tier,in_tangocho,jp
a,NGSL,1000,T1,,
ability,NGSL,1000,T1,,
able,NGSL,1000,T1,,
about,NGSL,1000,T1,,
above,NGSL,1000,T1,,
accept,NGSL,1000,T1,,
access,NGSL,1000,T1,,
accord,NGSL,1000,T1,,
account,NGSL,1000,T1,,
achieve,NGSL,1000,T1,,
across,NGSL,1000,T1,,
act,NGSL,1000,T1,,
action,NGSL,1000,T1,,
activity,NGSL,1000,T1,,
actually,NGSL,1000,T1,,
add,NGSL,1000,T1,,
addition,NGSL,1000,T1,,
address,NGSL,1000,T1,,
adult,NGSL,1000,T1,,
advance,NGSL,1000,T1,,
advantage,NGSL,1000,T1,,
affect,NGSL,1000,T1,,
after,NGSL,1000,T1,,
afternoon,NGSL,1000,T1,,
again,NGSL,1000,T1,,
against,NGSL,1000,T1,,
age,NGSL,1000,T1,,
agency,NGSL,1000,T1,,
agent,NGSL,1000,T1,,
ago,NGSL,1000,T1,,
agree,NGSL,1000,T1,,
agreement,NGSL,1000,T1,,
ahead,NGSL,1000,T1,,
aim,NGSL,1000,T1,,
air,NGSL,1000,T1,,
all,NGSL,1000,T1,,
allow,NGSL,1000,T1,,
almost,NGSL,1000,T1,,
alone,NGSL,1000,T1,,
along,NGSL,1000,T1,,
already,NGSL,1000,T1,,
also,NGSL,1000,T1,,
although,NGSL,1000,T1,,
always,NGSL,1000,T1,,
among,NGSL,1000,T1,,
amount,NGSL,1000,T1,,
analysis,NGSL,1000,T1,,
and,NGSL,1000,T1,,
animal,NGSL,1000,T1,,
another,NGSL,1000,T1,,
answer,NGSL,1000,T1,,
any,NGSL,1000,T1,,
anyone,NGSL,1000,T1,,
anything,NGSL,1000,T1,,
anyway,NGSL,1000,T1,,
appear,NGSL,1000,T1,,
application,NGSL,1000,T1,,
apply,NGSL,1000,T1,,
approach,NGSL,1000,T1,,
area,NGSL,1000,T1,,
argue,NGSL,1000,T1,,
argument,NGSL,1000,T1,,
arm,NGSL,1000,T1,,
around,NGSL,1000,T1,,
arrive,NGSL,1000,T1,,
art,NGSL,1000,T1,,
article,NGSL,1000,T1,,
as,NGSL,1000,T1,,
ask,NGSL,1000,T1,,
associate,NGSL,1000,T1,,
assume,NGSL,1000,T1,,
at,NGSL,1000,T1,,
attack,NGSL,1000,T1,,
attempt,NGSL,1000,T1,,
attend,NGSL,1000,T1,,
attention,NGSL,1000,T1,,
author,NGSL,1000,T1,,
available,NGSL,1000,T1,,
average,NGSL,1000,T1,,
avoid,NGSL,1000,T1,,
away,NGSL,1000,T1,,
baby,NGSL,1000,T1,,
back,NGSL,1000,T1,,
bad,NGSL,1000,T1,,
balance,NGSL,1000,T1,,
bank,NGSL,1000,T1,,
bar,NGSL,1000,T1,,
base,NGSL,1000,T1,,
basic,NGSL,1000,T1,,
basis,NGSL,1000,T1,,
be,NGSL,1000,T1,,
bear,NGSL,1000,T1,,
beautiful,NGSL,1000,T1,,
because,NGSL,1000,T1,,
become,NGSL,1000,T1,,
bed,NGSL,1000,T1,,
before,NGSL,1000,T1,,
begin,NGSL,1000,T1,,
behavior,NGSL,1000,T1,,
behind,NGSL,1000,T1,,
believe,NGSL,1000,T1,,
below,NGSL,1000,T1,,
benefit,NGSL,1000,T1,,
between,NGSL,1000,T1,,
beyond,NGSL,1000,T1,,
big,NGSL,1000,T1,,
bill,NGSL,1000,T1,,
bit,NGSL,1000,T1,,
black,NGSL,1000,T1,,
blue,NGSL,1000,T1,,
board,NGSL,1000,T1,,
body,NGSL,1000,T1,,
book,NGSL,1000,T1,,
both,NGSL,1000,T1,,
box,NGSL,1000,T1,,
boy,NGSL,1000,T1,,
break,NGSL,1000,T1,,
bring,NGSL,1000,T1,,
brother,NGSL,1000,T1,,
build,NGSL,1000,T1,,
bus,NGSL,1000,T1,,
business,NGSL,1000,T1,,
but,NGSL,1000,T1,,
buy,NGSL,1000,T1,,
by,NGSL,1000,T1,,
call,NGSL,1000,T1,,
campaign,NGSL,1000,T1,,
can,NGSL,1000,T1,,
capital,NGSL,1000,T1,,
car,NGSL,1000,T1,,
